fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"r1b1k2r/pp3p2/1qn1p2p/3pPn2/3P4/P4P1R/P2BN1P1/R2QKB2 b kq - 6 12",-15,61,64,56
"5r1k/2p4p/1pq2np1/2b1Q3/1p3pP1/1B3N2/P1P2PKP/5R2 b - - 0 22",83,215,242,227
"5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79",-45,70,41,66
"r1bq1rk1/2p3b1/p5p1/3pP3/P1n5/2P1P1Pp/4NN1P/R1BQ1RK1 w - - 1 17",-101,-56,-71,-82
"2b2rk1/2qp1pp1/3n1b1p/p1pPN2P/1rP1P3/2NB1PP1/8/R2Q1RK1 w - - 1 19",-96,-133,-176,-132
"6Q1/r2np2p/7k/2pNpP2/1pq5/8/P1P4P/1K6 b - - 1 41",261,830,835,828
"r6k/p4R1p/8/8/8/6P1/4r2P/1R5K w - - 2 27",19,103,120,120
"2k1r3/1r1q4/5Q1p/1P3p2/4p3/N1P1P3/2KP4/2B2B1n w - - 5 25",114,-18,-9,-25
"8/1k6/8/4p3/8/6K1/8/8 w - - 0 51",0,-139,-172,-212
"r2qk2r/p3bpp1/3pbn1p/1pp1p3/3nP3/PP1PN1PP/1BPN1PB1/R2QK2R b KQ - 1 11",-64,35,84,38
"r7/6rk/4Q3/p6P/1p2p3/1P2q3/2P3R1/1K6 w - - 0 33",-2,-381,-337,-319
"4k2r/q2n1pp1/3bp3/8/3P3p/2NNKP2/1P4PP/3Q3R b - - 0 18",20,-111,-90,-78
"r1b2rk1/5pbp/p5p1/1p2P3/2PP4/4P3/1R2B1PP/2BR2K1 b - - 0 17",-211,-140,-127,-120
"5Q2/6pk/2q1pn1p/4Pp1P/4RP2/3P1K2/r7/8 b - - 9 45",702,1014,1156,1476
"8/5k2/5p2/6pp/p1R5/2B5/6KP/2r5 w - - 5 41",-22,-94,-111,-90
"2r3k1/5R1p/p1b3p1/P5rn/3B4/2Nn2P1/1p2N2P/5RK1 w - - 0 27",-187,-257,-304,-250
"1r1q1r1k/6b1/p7/2p2bpN/P3p3/2P1BnP1/Q4N1P/R4R1K b - - 3 26",241,164,155,155
"r3k2r/1b1p2pp/2pb1n2/4nN2/1P2P3/P1N5/2K3BP/1RB4R b kq - 0 19",-78,-3,19,14
"7b/4k3/8/r6P/5R2/8/2N1K3/8 w - - 3 56",11,117,134,151
"4k2r/1Np1qp2/5n1P/P2Pp3/2p1P1b1/2P2Br1/1P2Q3/R3K2R w KQk - 1 26",315,230,230,292
"rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14",448,316,223,313
"1k3r2/p1ppq1p1/br6/N3p3/QP2P1P1/5NK1/8/4R3 w - - 1 23",-459,-425,-434,-465
"4k2r/r2n1ppp/p2Bp3/2pb2P1/2N5/7P/P4R2/2K2B2 w - - 1 19",-283,-249,-256,-237
"r5k1/1p1b2pp/1b1B1n2/1NPP3q/nP1NrP2/5R1P/4P1B1/3Q1RK1 b - - 0 23",-347,-273,-324,-259
"4k3/4npp1/p1p5/3p4/6B1/3r4/Pr5P/2R1RK2 b - - 3 22",417,455,422,424
"r1bqk2r/1np3p1/1p2pn2/5p1p/2P5/b3PN2/2Q2PPP/RN2KB1R w KQkq - 0 12",-233,-142,-101,-129
"Q2R4/6kp/2p1r3/1p4p1/8/P6P/2P3n1/7K b - - 0 43",-566,-565,-669,-705
"8/5Rpk/8/p5pP/r3r3/4BK2/5P2/8 w - - 0 55",-306,-204,-290,-303
"8/8/k7/2P5/1P5p/3p1Kp1/8/4B3 b - - 7 81",-143,-141,-167,-165
"8/6k1/1p6/5R2/p1b1BKP1/P7/1r6/8 w - - 0 47",15,0,0,1
"2rq1rk1/pQ2ppbp/2np2p1/3N2Bn/2P3b1/P7/1P2PPB1/R3K1NR b KQ - 2 9",316,129,160,138
"r3kbnr/pp1b3p/2q1ppp1/8/nPB1P3/5N2/P3QPPP/RNBR2K1 b kq - 0 11",-104,22,38,43
"r1bq1k1r/1p3pp1/p1n2n2/3pp2p/2P5/1P2PP2/P1NNB1PP/R2QK2R w KQ - 0 9",-44,-27,-27,-65
"r3k3/p2bbpp1/Bqn1p2r/2pp4/3P1P2/1PP1P1Pp/1B1N3P/R2QK2R w KQq - 1 12",36,-205,-93,-113
"7r/1p2pk2/2n1bp1P/p1q1P3/5Bp1/2P5/2PQB1P1/5K1R b - - 0 24",91,24,30,28
"r1b1kbnr/pp4pp/2p1N3/3p4/P5p1/4P3/1PPP2BP/R1B1K1NR b kq - 0 10",130,132,121,133
"6k1/5p2/6pp/p3q2P/P7/1P1P1QP1/K7/8 w - - 0 30",38,204,203,200
"1k2n3/1p6/p1pb1p2/2Np1P2/P2P2Pn/1P5B/2P5/1KB5 w - - 3 32",174,116,109,108
"5k2/2r1p2p/5bp1/3b3P/P2p4/3B1Pq1/1P1Q2P1/4RK1R b - - 2 25",-248,-118,-50,-151
