fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"r3k2q/3b4/3p1p2/p1pPpP2/2BnP3/1P2B3/P5Q1/2KR4 b - - 2 26",-168,-175,-124,-188
"8/1r4pp/p4n2/2kb2P1/P4P2/3R3P/2B5/K7 b - - 0 37",500,290,264,247
"rr4k1/2b4p/2P1p3/pP3p2/8/P1N5/4N1PP/2R1K2R w - - 1 21",608,409,392,390
"r6k/p4ppp/3N4/3R4/P7/2q2n2/5QKP/8 b - - 1 28",162,86,169,164
"6k1/2p1B1p1/p1n1rn2/3p4/Q2p4/2P5/P4PP1/R4K2 b - - 1 23",-356,-59,-103,-92
"r3k2r/2pqbp2/2N1pn1p/p7/Pp1P4/6P1/1PP2P1P/R1BQR1K1 w kq - 1 16",342,210,227,203
"2kr1b1r/1bppq2p/1p1n4/p2Pnp2/3N1B1p/P1N5/1PP1BPP1/R2QK2R b - - 1 12",203,64,84,88
"8/5k2/6R1/1r3p1P/3K2p1/8/8/8 w - - 5 79",0,-91,-75,-66
"1rbqk3/ppn1ppb1/5n2/3p3r/3P2p1/PPN5/1BP1NPBP/R2QK2R w K - 0 10",-5,9,13,0
"1r1qk2r/p1p1pp2/2n1bnpp/8/R3P3/4N3/1bPB1PPP/1Q2KBNR b Kk - 2 10",260,152,157,163
"4r3/1kp1nr2/p5pp/5b2/5P2/qPQ1B1RP/P4K2/4R3 w - - 0 25",-192,-334,-316,-284
"k6r/8/1B6/3pPbp1/4n3/P4p2/P4P2/3K2R1 w - - 0 26",-532,-237,-237,-291
"6k1/p4p2/1p3n2/3p2p1/3P2Pp/P2RPP1P/r2BK3/8 b - - 3 33",35,137,144,131
"4k2r/1R1n4/2p1bP2/5np1/8/2q2NP1/5rBP/2BQ2K1 w k - 0 20",-15,-33,16,27
"R2b2k1/3r3p/pp4pP/3rp3/1B6/P2p1P2/6K1/3R4 b - - 1 28",451,252,302,295
"8/R7/1p1k4/8/P1P4p/2r5/1RB2r2/1K6 b - - 0 35",-205,-179,-179,-221
"8/3k4/p3p1p1/1p3nP1/n1pPR3/P1P5/1P3P2/2B2K2 w - - 0 31",345,340,335,303
"8/3p3p/rPp5/5k2/1K2p2P/4B3/8/8 w - - 0 39",-63,-320,-99,0
"6k1/3b4/p2p4/r5pp/4p3/4P2P/5PP1/2R2NK1 w - - 0 34",-5,-73,-84,-46
"r2qkb1r/ppp3p1/2b2p2/3np2p/8/4PN1R/PB1P1PP1/RN1QKB2 w Qkq - 0 9",347,58,170,133
"rnk1Bb2/1bp1n2r/1p1pP1p1/pP6/2P2q1p/4NPR1/PB1Q4/1K4R1 w - - 0 27",-76,-49,-72,-72
"r3k3/pp1b2r1/2pR1n2/P4p1p/2B2N1P/4PP2/1P5K/R7 b - - 4 22",-289,-191,-259,-220
"r2qk2r/ppp1bb1p/5n2/3p4/1Pn2NpP/P1N1P3/1BPP1PB1/RQ2K2R b KQkq - 4 9",54,77,41,51
"3q1rk1/Q1p2pb1/1n1p1npp/1P2p3/2B1P3/B1N2P2/2PP1P1P/4K2R w K - 3 12",20,275,235,226
"r4rk1/pp2q1pp/2bB1nn1/8/4P3/P1Q2P2/1P5P/2KR1BNR b - - 2 15",-230,-168,-211,-225
"1rbq1rk1/R2nppbp/3p2p1/2pn2P1/2NP4/1P3N2/4PPBP/2BQ1RK1 b - - 0 9",312,12,-25,48
"r4rk1/2ppn1q1/pp2p1p1/8/5P2/3B2P1/P1PQ2K1/1R5R w - - 2 20",-144,-146,-113,-140
"4r1k1/1p3ppp/p1n5/4nb1P/4pB2/1P4P1/P4PB1/3R2K1 b - - 2 22",560,487,422,464
"1kbr1r2/pp6/P6R/6Pp/3qP3/3p3P/1P1Q2B1/R6K w - - 1 25",16,112,74,46
"r1Bq1k1r/1pp1p3/3p1n1p/p2Pb1pP/6P1/2N5/PPP5/R1BQK2R b KQ - 0 10",299,103,83,65
"1B6/5kp1/pp2b2p/8/1P5P/P4r2/1K2R3/8 b - - 0 34",175,264,264,286
"2kr3r/p1p5/Ppb2qp1/8/4B3/5N2/3Q1K1P/R6R w - - 6 26",22,-85,67,90
"r1b5/p3k1p1/1pnN3p/8/2r5/8/P4BP1/R5K1 w - - 2 31",-282,-253,-208,-232
"7r/p7/p1k1b3/2Bp1p2/3Pp3/1P6/P1PPN2r/R2K2R1 w - - 4 26",328,258,282,282
"r2qk1nr/5p2/p2pp3/2p1n2B/4P2P/4N3/PRPP2P1/3QK2R b Kkq - 0 13",119,-65,-89,-54
"5rk1/2pq2b1/1p1p1p2/1p3NBp/r1bPP3/1n3N1P/1Q3RP1/3RK3 w - - 0 21",-276,-262,-225,-251
"1k1r4/pp2qp2/Pb1p3p/2r5/5B2/2PB1Q2/1P4P1/R6K w - - 5 21",-175,-61,-73,-73
"k7/8/7p/PPp1p2p/2P1P1nP/2BKP1P1/8/8 w - - 1 40",405,577,577,579
"r3kb1r/pp1n1pp1/2p4n/3pP2p/P2P3q/2P1P2P/1P1NK2P/R1BQ1B1R w kq - 9 10",181,132,109,126
"r2qk1nr/pbp4p/3p4/3P2P1/1p1pp3/7P/PPPQ1NP1/R3KB1R w KQkq - 0 10",541,200,174,232
"1k2r3/1pr2q1p/p2Qp2R/3p4/3P4/P1P4P/1P4P1/6K1 w - - 3 35",-474,-252,-317,-304
"4k2B/8/8/5KN1/1p6/8/8/8 b - - 0 52",-212,-419,-510,-532
"8/4b3/4P3/8/k3P3/ppBK4/8/8 b - - 0 48",68,182,116,191
"5kr1/pp2p2p/1q1p1p2/1B2nb2/P4P2/BP6/2PQ2P1/2K1R3 b - - 0 21",81,98,100,100
"2kr2nr/pppbqpb1/6p1/4p2p/2PnP3/PP3N2/1BQPBNPP/R4RK1 w - - 1 12",-41,0,12,-9
"5r2/8/8/2k3p1/7p/4K2P/8/6R1 b - - 3 56",-12,68,51,63
"8/8/8/p7/pkPK4/8/1P6/8 b - - 2 40",-16,85,25,5
"4Q3/2k5/4K3/1P2p3/5q2/3p4/8/8 b - - 2 48",260,269,297,310
"4R3/1R4pk/3b4/3p4/3P3P/7r/8/6K1 w - - 0 32",218,176,155,177
"r3k1nr/ppp2ppp/8/3p1b2/1n1PP3/5P1P/PPPK1N2/RN3B1R b - - 0 10",-21,45,22,25
"r1b2rk1/1p2bppp/p1n1pn2/1q6/N1p2B2/PP3NPP/4PPB1/R2Q1RK1 w - - 0 12",37,105,93,90
"4Q3/3K2k1/8/2b3p1/6P1/8/2P5/8 b - - 0 67",-652,-863,-900,-895
"6k1/2Rb2p1/p3r3/1p6/1P3P2/P2Q2K1/3qPB2/8 b - - 2 41",24,-98,-91,-81
"8/1P4k1/2r4p/1R3p2/2P1p3/8/5Kn1/8 b - - 3 55",-377,-115,-164,-244
"6k1/2q2rp1/2b4p/4p3/2p1PpQP/2B5/6P1/R6K w - - 0 41",-158,-311,-289,-293
"4rrk1/1pq2pb1/p2np1p1/P2p2Pp/3P3P/2PNNQ2/1P2RP2/R5K1 w - - 1 25",5,127,87,59
"8/p1k1r1Rp/8/2ppr3/8/P2QN2P/2P1KP2/2qN4 w - - 2 45",436,189,198,284
"r1b1k2r/3n1pb1/p2qpnp1/1p1p3p/1P5P/P1N1PP2/1BPQ2P1/1K1R1BNR w kq - 3 12",-33,19,12,31
"4k1r1/p4p2/p1R5/7p/P4Pn1/1r6/4K1P1/6NR b - - 4 25",164,117,97,111
"2R5/6k1/p5pp/8/4r2P/P2b1N2/5K2/8 w - - 0 30",-73,-56,-81,-74
"2b1k2r/2r2p2/pp6/2pBP1R1/3b1P1p/3N4/P3KP1P/2R5 b k - 5 25",42,-29,-11,-11
"8/1p2r1k1/p7/2N3pp/PPP5/b4PP1/2R5/5K2 w - - 3 40",78,48,68,69
"8/8/4p3/3k1p1p/4nP1K/5NPP/8/8 w - - 3 69",26,81,83,78
"3r1rk1/p1q1bpp1/b1n2n1p/4p2P/P1N1P3/1QP2N2/1P2BPP1/R1B1K2R b KQ - 0 13",177,-66,-72,-57
"2rr2k1/2q1bp2/1nB1p1p1/pP5p/P2P1P2/2P3P1/1B2Q2P/R4R1K b - - 7 26",-276,-215,-225,-208
"6br/6p1/2p4k/p3RnNp/P1p1BP1P/6r1/1P1R1K2/8 w - - 2 32",590,668,649,760
"r1q1r1k1/1p1n1ppp/3bpn2/pPpp1b2/P1PP3P/B3PN2/3NBPP1/R2Q1RK1 b - - 3 9",18,103,68,68
"4Q3/1pk5/p2p4/3p4/3Pn1P1/8/5r2/6K1 w - - 6 55",157,-169,-158,-83
"r1bq1rk1/1p1nbppp/2p5/3n4/p2B4/4PP2/P2PQNPP/RN2KB1R b KQ - 2 9",437,107,178,137
"4r3/2p2kr1/p1Nq1ppb/1p1Pp2p/4P2N/P5QP/KPP5/5R2 w - - 4 29",-173,-132,-115,-124
"r1r3k1/1b4bp/6p1/pp1qN3/4pP2/2Bp3Q/3P2PP/2R2RK1 w - - 0 23",-230,-347,-329,-294
"r1bq1rk1/pp3p1p/2n2npP/8/P1BNp3/1PN1PPb1/R2K2P1/2BQ3R w - - 1 12",-47,-24,-35,-36
"8/R3bkp1/4n2p/5K2/6P1/4Bb2/8/8 b - - 13 42",300,356,310,310
"8/8/6B1/4b3/8/8/1p6/2k4K w - - 20 60",-11,-328,-338,-327
"r2q1r2/p3ppk1/p5p1/2p3Q1/3P4/1P6/P1N4P/1K1n3R w - - 0 20",-435,-275,-282,-319
"r1bq2nr/pp3kpp/5p2/2bpp3/2P3PP/P2BP3/1P1B1P2/R2QK1NR b KQ - 0 10",10,58,59,61
"7r/p2p1k1p/3Ppp2/2P4n/3P4/Pr3P1P/R2K1P1B/7R w - - 1 22",154,170,157,180
"5k2/p7/4b3/2R3p1/P1N5/1P6/1KP3r1/8 w - - 1 33",120,167,168,118
"3r3r/p5k1/2q3p1/1p1Nnp1p/2BQ1P2/1P6/P2B4/R2K3R b - - 0 24",-335,-322,-348,-281
"r3k2r/p1pp1pp1/1b3q1n/4n3/3NP1p1/P1P5/1P2NP1P/R1BQ1K1R w kq - 1 10",-65,-95,-120,-94
"r2r4/2k2pp1/4b2p/3Pp3/p3Pn1P/5P2/P1KN1bP1/1R1R1B2 b - - 0 23",280,245,231,214
"7r/kp6/p7/1P3b2/2P2Ppp/2K1b3/P5R1/7R w - - 0 32",-461,-354,-388,-276
"r6r/p3nkp1/4Np2/n7/Pp5p/1P6/1BP1B1PP/1K1R1R2 w - - 8 27",687,549,549,600
"1r3rk1/2pp1q2/1nn1pP2/1bb4p/p7/P1B2NP1/1PQ2PB1/3RR1K1 w - - 1 22",495,-331,-308,-287
"1r3nk1/1r6/Rp2p1pp/3bB3/7P/5PK1/P5P1/2RB4 b - - 4 35",-101,-85,-108,-109
"3r4/2P1k3/3p3p/7r/p1P3p1/B7/2B1PPK1/3R4 b - - 0 35",-555,-460,-488,-558
"4kb1r/1p3p1p/6r1/p7/3n2b1/2P5/PP4P1/RN2KB1R w KQk - 0 14",-208,-41,-23,-49
"r1b1kb2/4pp1p/3p1nr1/p2P4/6P1/B1N2P2/3PK3/1R1N3R b q - 1 18",68,137,112,117
"r1k2b1r/1p1bnnp1/8/8/p3pBPP/P1PB1N2/1P6/R3K2R w - - 2 21",-342,-75,-137,-111
"r4r2/pp1b1k2/7p/2R5/P4B2/N1P1n3/6PP/4R1K1 b - - 0 24",-215,-152,-159,-136
"r3k2r/pp1qbppp/3p1n2/2pPn3/P1P5/1PN3N1/5PPP/R1BQK2R b KQ - 1 9",-86,-26,9,-36
"r6k/P7/R6P/5nP1/8/5K2/8/8 b - - 6 51",-263,-390,-236,-295
"rnq2r1k/pbppn1bp/4ppp1/8/R2P1NN1/1QP2PP1/1P2B2P/2B2RK1 w - - 9 13",-46,8,-26,-34
"8/8/2b5/5PpN/4k3/4P3/5K2/8 w - - 1 55",27,7,34,12
"2k5/1p4n1/8/P1p1P3/1n6/1P1P1r2/1KP1N3/7R w - - 2 37",-37,135,124,105
"8/8/8/8/1k6/7p/7K/8 b - - 9 59",38,18,4,0
"4r1k1/2R4R/p4p2/8/8/6K1/3r4/8 w - - 26 52",21,0,0,0
"3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12",89,13,46,28
"2r1kbr1/p1pnnp2/2b1p3/4B1pp/2BP2N1/P1N2P2/1P4PP/2KRR3 w - - 0 16",90,160,119,129
"2bq1rk1/r5bp/p4Bp1/1pp5/3p1P2/1PN1P3/P1PPB1P1/R2QK2R b Q - 0 11",130,6,6,3
"1b6/1k2rp2/p1p1b3/Pp4RR/1P6/2P1P3/2K2P2/8 w - - 1 38",-139,-12,-19,-26
"2r5/1p4b1/pR3nk1/3pB1p1/2b3p1/2P5/1PN4P/2KR4 b - - 5 26",-157,-27,-87,-50
"4r3/2k2p2/8/5r1p/P1K4p/2P2P2/1R4P1/R7 w - - 0 29",122,121,147,117
"Rnb1r2k/6pp/5b2/1pBB4/5P2/2P3P1/1P4KP/1N6 b - - 1 22",-356,-288,-284,-324
"8/8/R1bk4/8/P6r/1rp1B3/1PK2P2/1R6 b - - 1 41",-21,-194,-159,-132
"8/8/8/4nk2/1R4p1/7p/4rN2/7K w - - 2 68",-312,-534,-546,-597
"2k1rbnr/pppq2p1/2np4/6Np/5B2/2NPP3/PPP4P/R2QK2R b - - 0 10",138,29,20,17
"2kr4/pp2n3/2nq4/3bpp2/3p3Q/P2P3P/1PP1NN2/1K4R1 b - - 2 23",614,434,445,448
"8/5p1p/2knr3/R7/6P1/2p2K2/8/R7 w - - 0 47",0,-130,-109,-116
"1R6/5k2/6p1/r1p5/P2p1r2/1N2b1K1/2R3P1/8 b - - 9 42",157,167,167,220
"8/8/1ppk1r2/p1b1p1RP/P1PpBr2/1R3P1K/8/8 w - - 1 31",-90,-2,-66,-77
"6k1/pb1q1rb1/6pp/1P6/PBRp1p2/3P3P/4BQP1/6K1 w - - 2 30",152,112,140,133
"2k5/5pp1/p1p1p2r/4b3/2K1P2P/5B2/PRPr4/7R w - - 2 32",-417,-288,-286,-343
"2b5/8/2k2p1R/5r1p/p3KP2/B5P1/8/8 b - - 0 41",19,95,93,98
"5r1k/2Q4p/1P4p1/4R3/1q1p1P2/2nB1P1P/p1P2K2/R7 b - - 1 33",-427,-378,-548,-532
"1k1q4/pp2bRpn/2n5/4p1rb/1P1p3P/P2P2Q1/2PB2B1/R5K1 w - - 0 23",222,32,45,76
"r1b1kb1r/3p1ppp/nN2p3/p2n4/8/2PP1P2/P3N1PP/1RB1KB1R b Kkq - 0 9",380,119,141,160
"r1b1k2r/pp1ppp1p/n7/1N2Q3/P7/2Pq2P1/3PN1B1/R1B1K3 b Qkq - 5 14",-279,-99,-86,-123
"r2q1rk1/1pp1ppbp/2n3p1/8/2pP4/P1NbPNPP/1P1n1PB1/R2QR1K1 w - - 0 12",-53,37,68,41
"4r3/1p4k1/2p3P1/5K2/4B2p/3R4/8/8 b - - 1 49",-378,-194,-183,-266
"6r1/2Nnk1b1/2p1pp1p/4P2P/q2P3Q/1pp4B/P4P2/R3K3 w Q - 0 23",-222,23,29,-30
"2b2rk1/3qn2p/r1p1pppP/1p6/1P1P4/p2B1N2/P1P2PP1/2KRQ2R b - - 1 15",72,-119,-130,-86
"3r1rk1/p1q2pp1/1p1b4/4p2p/N1Ppn2P/1P1Q2PB/PB1P1P2/4RK2 w - - 0 18",233,167,147,163
"4r2k/R3P2p/1p6/1P6/4bn2/8/2P4P/6K1 b - - 0 29",446,449,443,477
"8/4pk2/4b3/B3Pp1p/Pp5P/r4Pr1/1KP2R2/3R4 b - - 0 33",219,41,43,96
"r3k2r/p2q1nbp/1p3pp1/1P2p3/1QN5/3P2BP/4PP2/R3K2R b KQq - 0 16",135,52,65,50
"r3k2r/pp1n1pp1/3bpn1p/q2p1b2/2P5/1PN2N2/PB2BPPP/2QR1RK1 w q - 0 12",300,-46,-44,-44
"r5k1/2B2pp1/2p1pqn1/1p1p1n2/3P4/1BP2P2/2PQ3P/6RK b - - 13 28",486,195,186,234
"r3k3/pp3p2/2ppn1p1/4p3/2P1P2q/3PQ3/PP3P2/R3KN2 b Qq - 5 18",338,254,239,249
"6r1/1R6/8/1P6/k2N1K2/4P1n1/8/8 b - - 2 56",-140,-382,-377,-391
"r2q4/3PR3/p4pk1/1RQ2b1r/P1P2P1p/5p2/1P5P/6K1 w - - 0 29",65,-209,-209,-181
"r2qkbn1/ppp5/2n2p2/8/3prBb1/P2Q1N2/1PP1N3/R3KB1R b KQq - 1 13",165,276,199,187
"r2q1k2/1p2bpp1/2npb3/pB6/8/P1N1QN2/1PP2P2/2KR4 w - - 0 19",159,31,12,-6
"1rr3k1/p5p1/4q3/7p/Q2PpP1R/4N1P1/P4PK1/2R5 b - - 0 25",-50,-49,-27,-86
"k7/P3r3/8/2B5/1QR5/3q2bP/4p1P1/4R1K1 w - - 1 44",546,1080,1102,1175
"rq4k1/5pp1/2Rb1n2/p2p3p/1p6/3B1PP1/PP3B1P/4Q1K1 b - - 0 21",40,155,113,148
"8/4kp1p/r1pN4/4P3/3PKPP1/8/1r5P/2R5 b - - 0 30",-67,-144,-117,-77
"r1bqkb1r/p1p4p/4p1p1/1p2Pp2/4P3/8/PPQ1P1BP/RNB1K2R b KQkq - 0 9",-216,-127,-127,-104
"2rr2k1/1b3pp1/p2p4/R1n1p2p/2Np4/QP1P2P1/2P1P2P/5K2 w - - 0 25",248,-26,-20,-73
"1r4k1/p3pp2/3b2p1/2p2b1p/P1R1p2P/2B1P3/1P2BPP1/4K3 w - - 1 22",-123,-89,-90,-54
"3k4/p4p2/8/7Q/3B4/2P1Kp2/q7/8 b - - 4 38",-188,-40,-31,-76
"8/k1b1R3/p2q3p/3P1p2/6bP/1Q4p1/P5P1/1K6 w - - 4 36",-196,-119,-104,-101
"3R1B2/p7/1pp4p/2PbQ3/6k1/6P1/1PK5/q7 w - - 3 41",458,549,520,578
"6k1/5p2/ppr1p1p1/1bNp4/1P1P2q1/P3Q3/3K1P2/7R w - - 0 31",50,-317,-309,-320
"r1bq1Bk1/p7/2pb2p1/3p3p/3P3n/2pB1P2/PP2Q1P1/R2KRN2 b - - 0 18",16,-89,6,-32
"8/8/1P1R4/8/p1k5/r7/3K4/8 b - - 0 77",-4,0,66,97
"r4rk1/pbppqppp/np3n2/P7/2P5/4PN2/1P2BPPP/R1BQK2R w KQ - 3 10",17,-8,-26,-33
"8/5pk1/6p1/R6p/7P/6P1/3r1pK1/8 b - - 17 51",30,386,386,276
"8/6k1/4nb2/Q7/3P4/P3q3/1P1R4/K2B2r1 b - - 0 50",156,226,244,154
"2kr1b1r/p7/1q1p2pP/4p1P1/1np1b2N/2B5/PP4BK/R2Q1R2 b - - 1 21",-84,-35,-73,-73
"rnbqr1k1/5pp1/1p3n1p/p2p4/Pb1P3P/2NQ1P2/1PP1N1P1/R1B1KB1R w Q - 0 10",91,55,46,35
"r4r1k/1p6/1nppQ2p/p5q1/Pb2PP2/1B5P/6P1/R4RK1 b - - 0 25",516,381,336,403
"1k6/1bp5/p2pRn2/1p6/7r/P5N1/1PP2P2/2K2B2 b - - 3 22",31,19,-51,5
"rn1q1rk1/6pp/3b1n2/pB1p1b2/R7/NQP2N2/1P3PPP/2B1K2R b K - 6 12",61,-15,-20,-27
"r4rk1/pp1bqn1p/5p2/3Q2pP/2B2P2/P3b3/1P1B2P1/R3K1NR w - - 0 16",-42,11,-22,-31
"8/2r2p2/4pk2/2r5/8/P7/4RP2/K2R4 b - - 0 38",41,95,82,72
"1k1rqb1r/p1n5/bppp1npp/4pB2/3PP3/P1N2NP1/1PPB1P2/2KRQ2R w - - 0 15",40,38,59,30
"1n3rk1/r3p1bp/2pq1np1/p2p1bN1/3P1P2/4P3/P1PNB2P/1RBQ1RK1 b - - 4 12",26,22,23,36
"3q4/1k6/1p1RQ1p1/p1p2p2/2P1pP1P/1P6/P2R2K1/8 b - - 0 39",-785,-1101,-1427,-1543
"R7/5r2/3pk3/8/1PK5/8/8/8 b - - 3 44",-1,-24,-34,-26
"r1k4r/1pn2ppp/4p3/p1bpPPB1/P7/1qPB2PP/4Q3/R3K2R w KQ - 0 17",18,-100,-100,-98
"4r1k1/2p3pp/1p5q/p2p1Qn1/2bP3N/2P1P1PP/P5K1/R6R w - - 0 19",35,-55,-51,-75
"8/7R/7P/5pk1/1b1Qb1p1/4P3/r3BPP1/4qNK1 w - - 2 34",696,611,619,700
"1q2k2r/5p1p/p4np1/3pb3/b2N4/2BPP2P/2P3Q1/2RK1R2 w - - 0 24",378,77,78,78
"r1b1r1k1/4qp2/2p2n1p/1Pbpn1pP/p2N4/1PB1PP2/2PQN1P1/1K1R1B1R b - - 1 14",210,-87,-75,-59
"6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37",590,1413,1409,1502
"r4k2/pR1R4/1p4pp/2p5/4n3/P5P1/P1P4P/6K1 w - - 0 31",615,404,403,452
"8/8/8/4BK2/5p1p/1k2r3/8/R7 b - - 1 71",-17,-8,-29,-118
"2r2kr1/p2bb3/P1p1p1pp/1p2Bp2/3P1P1q/1PN1P2P/1KP1B1Q1/R7 w - - 0 22",102,-34,-27,-37
"8/k1p5/pp2n3/4B2p/PP2b3/3Q2P1/1KB3q1/8 w - - 1 44",475,311,319,353
"r1bq1r1k/pp2b1pp/2p1n3/3ppp2/PP1P1P2/2P1N3/4N2P/1RBQ2RK w - - 0 15",-141,-157,-126,-136
"1k1r1bnr/2pq1pp1/bp2p2p/3pP2P/Pp1P4/2P4R/3NNPP1/R1BQK3 w Q - 0 11",113,7,-6,-9
"1k3b1r/8/p1p3pn/P3P2p/4NP2/4P3/1r3P1P/3R1K2 b - - 1 21",592,221,246,266
"r2r2k1/2q2pp1/2p1bnnp/4p3/pP2P3/4BNPP/2Q2P2/1R2RBK1 w - - 0 22",35,-280,-282,-205
"2kr3r/1p2p3/1bn2p2/5b2/5Ppp/N1B3P1/PP4BK/R3NR2 w - - 1 24",39,72,78,74
"r2q1rk1/1b1p1p2/5n1p/1p2p1p1/4P3/3BB3/P3QPPP/1R3RK1 w - - 0 14",101,56,52,96
"6R1/8/2r5/5n2/7p/B4k2/7K/8 b - - 17 68",26,196,196,171
"2R5/1p4rk/1p1P4/4n3/p2Rpr1P/8/P3P2K/8 w - - 2 34",-454,-267,-351,-372
"r2q1rk1/P2bppb1/2p5/2B5/3PpNp1/1Q2P1P1/7P/R4RK1 b - - 0 21",-337,-182,-177,-188
"8/3k4/4p2P/1K1p4/3P1P2/8/8/8 b - - 0 58",-598,-715,-1027,-1081
"1k1r1r2/p1p5/1p2p2p/8/2q1P3/P3R2P/1P1BQnKP/R7 b - - 11 21",357,120,144,119
"8/5k2/2r1p3/2bp1pQ1/8/1P3PPp/3B3P/1q1BKR2 w - - 0 30",240,260,327,327
"8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76",-65,-262,-272,-253
"1k1r4/pppb4/8/3Q4/5q2/1PK5/P1P2n2/R6R b - - 5 32",591,459,550,673
"r1bq1r2/p4kp1/1pn2n1p/2pp1p2/3Pp3/PPP1P3/4BPPP/RNBQK2R w KQ - 2 9",-36,-32,-66,-33
"5r2/5p2/k1q3pp/p3P3/P1p1pP2/2p1r2P/2Q2R2/3R2K1 w - - 0 38",272,-431,-144,-86
"3kn3/8/n1K1P3/P1P5/3N4/8/8/8 w - - 5 53",100,348,312,311
"8/3R1p2/4k3/2p2p2/5P2/r7/P1PPN3/4bK2 w - - 12 44",173,98,91,98
"4r1k1/2pq2p1/1p1p1p2/7r/p2N1B1P/2PQ2K1/P7/6R1 b - - 1 26",222,237,245,259
"2kB1b1r/pbpp4/1pn3qn/7N/P2Pp1P1/2P4P/1P4B1/R2Q1RK1 b - - 0 14",148,96,83,62
"6Q1/p2rk3/8/4p3/3b1q2/6p1/PP4PP/3R3K w - - 0 36",-290,-111,-111,-153
"r1bq1rk1/pp2b1pp/2np1n2/4pp2/2P5/3B1P1N/PPNB2PP/R2Q1R1K b - - 1 12",197,255,235,251
"5b2/5b2/2k2P2/p4R2/2p1pP1p/P1NpP2P/7r/R3K3 w Q - 1 28",-145,-95,-87,-85
"2bqr1k1/2r2pb1/pQ1p1np1/P7/1p1P4/4B3/1P2BPPP/RN3RK1 b - - 4 14",358,173,144,182
"r4b1r/5pp1/1nk2p2/p2p1N1p/5B1P/P1P5/1P3PP1/2KR3R b - - 3 18",-67,-108,-105,-108
"r4k2/5p2/4n3/ppbr2Pp/4pp1N/7P/PP3PK1/1RB4R b - - 5 25",538,459,444,474
"r1bqk3/pppp3r/7p/2bnPpp1/PnP5/4P3/5PPP/RNBQKB1R w KQ - 0 9",61,0,-25,4
"7r/1b2bk1p/4np2/5p2/3N1N1P/2q1PPP1/5K2/3Q3R w - - 0 21",141,-95,-54,-6
"5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36",228,167,149,164
"5b1r/4n2p/1k3B1P/n6R/b1p5/P3P3/4BPP1/4K3 b - - 2 24",332,59,-26,-24
"r4b1R/5k2/1p3p2/1b1P4/p1p5/2N1P2P/3B1K2/8 w - - 0 32",158,145,179,189
"3r2k1/1pp3p1/5pb1/6Pp/pPP1r2P/P2P1P2/1BK2Q2/4qB1R w - - 0 29",-195,-133,-140,-182
"2kr3r/pppbqpb1/2np1n2/3P3p/4Pp2/1PN5/PB1Q1NP1/1K1R1B1R b - - 0 13",217,26,22,0
"1b3rk1/5p2/6p1/2P3Qp/1p1RQ3/7q/5P2/4N1K1 b - - 2 33",0,150,15000,15000
"2rq1rk1/Q2b1pp1/4p3/2p4p/1n3P2/3BPN1P/PP2K1P1/R1R5 w - - 1 15",15,153,137,125
"8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57",178,-119,-156,-161
"1k6/3r4/1p2B3/4n3/3Q1N2/P1K1P3/P6q/8 w - - 9 29",529,533,541,535
"2k5/7p/1p1n4/p2p4/P1rP2P1/2p2PKP/P7/2RR4 b - - 2 28",-287,-174,-234,-202
"8/8/5rk1/6b1/4pn2/8/3R4/5R1K w - - 0 42",-283,-319,-304,-314
"8/4rk2/8/B1pb4/P2p4/3P2P1/1K6/4R3 w - - 3 29",41,185,123,133
"r3k2r/2pn1p2/1p2p2p/p3n3/2PpNbPP/BP1P3R/P3BP2/R2K4 w kq - 0 18",-27,17,50,5
"3Q4/7k/3p3p/3Pb3/4P2P/1r4PK/4R2N/7q w - - 33 55",163,292,258,293
"2rqk1r1/p4p1p/1p1pnp1b/8/2P1P3/2NQ3P/PP3P1P/3RKB1R w K - 7 16",225,57,66,77
"2kr4/1p1qn3/3b1R2/1P2n1p1/3pQ2r/3P4/P1NBN1K1/R7 w - - 0 22",-465,-222,-234,-251
"8/4p3/8/4rk2/8/1P5R/2P4P/7K b - - 0 40",5,-86,-84,-90
"6R1/r7/6p1/6k1/5p2/5P2/5K2/8 b - - 27 77",-14,169,169,171
"r7/1p2q1k1/p4n1p/P3r1p1/5p2/2N4P/1PQB2P1/5RK1 b - - 3 26",402,271,312,333
"8/4Bp2/6kp/4P3/r5P1/5K2/8/8 b - - 64 80",323,220,195,190
"1r2b2k/ppp3b1/P1n1p3/3p2p1/2qP4/2P1P1P1/6B1/1Q3RK1 b - - 0 23",378,810,840,831
"r4b1r/pbpq1kp1/1pn2P2/5p2/8/2N2N2/PPPBQ1PP/R3K2R w KQ - 1 13",239,179,188,159
"8/1p3r2/pR3pk1/8/3R4/1P4KP/1r1P4/8 w - - 3 27",22,-28,-5,19
"r2qk1nr/pbppp2P/8/3P2p1/Q1p1P3/2P4P/P5PR/R3KBN1 b Qkq - 0 10",-102,-183,-152,-180
