fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
8/1P4k1/2r4p/1R3p2/2P1p3/8/5Kn1/8 b - - 3 55,256.0,-206.0,e4e3,quiet,10,0.579607,462.0,0
5rk1/4r3/p1p1b1pp/1p1nPpN1/1Pq5/2P4P/P3R1PK/4QR2 w - - 0 24,-278.0,-308.0,g5e6,capture,23,0.022769,30.0,0
6k1/pp6/6P1/3n3r/Pb6/2B4P/6P1/1R5K b - - 0 40,65.0,281.0,b4c3,capture,13,0.241993,216.0,0
8/5p2/p4P2/4kPBK/PP4P1/8/4b3/8 w - - 5 39,668.0,613.0,a4a5,quiet,11,0.007574,55.0,0
r1b2r2/1p3ppk/3p4/p1q5/8/N4Q2/RP3PPP/5RK1 b - - 0 15,38.0,136.0,c8e6,quiet,19,0.131831,98.0,0
r3kbnr/1b1p2p1/5p2/pB2p2p/PpNpP3/1P1P4/1B2KPPP/R6R w kq - 0 12,89.0,77.0,f2f4,quiet,27,0.016319,12.0,0
2rk1b2/q3r2p/2p3p1/2N2p2/PP1PBP1P/3Q2P1/1B6/R4K2 b - - 0 30,-259.0,-201.0,f5e4,capture,21,0.055421,58.0,0
r4rkb/1bq2p1p/n1Np1npP/1B2p3/p3P1P1/2P1BP2/PP6/R2QK1NR w KQ - 3 13,57.0,11.0,g4g5,quiet,29,0.065476,46.0,0
Q1rk4/3n4/3b4/6q1/1p1PR3/6N1/P5K1/8 w - - 8 54,-166.0,-579.0,e4e8,quiet,12,0.243309,413.0,0
2kr3r/pbp2pp1/1pnq1n2/3pN3/3P4/2NB3P/PPP2PP1/R2QR1K1 b - - 1 12,22.0,-174.0,d6e6,quiet,27,0.262996,196.0,0
r3kb1r/4npp1/1pn1p2p/p1p5/Q1P2PPq/P1N2P2/1P1BK2P/3R1B1R b kq - 6 9,90.0,9.0,e8c8,quiet,28,0.113750,81.0,0
2kr4/1b2bp1p/4p1pB/pQprq3/2R1P3/8/2N2P1P/R3K3 b Q - 3 22,403.0,306.0,d5d3,quiet,21,0.057113,97.0,0
4Qb1r/2pq2pp/p1n2k2/1p6/1P1p1p2/P1N2P2/1BP3PP/2KRR3 b - - 0 18,-337.0,-400.0,d7e8,capture,24,0.034747,63.0,0
rn2k1nr/7p/2pq2pb/1p3p2/p2Pp3/1QN1P2P/PP3PBP/R1B1K2R w kq - 0 10,47.0,-92.0,b3c2,quiet,28,0.196617,139.0,0
r1bqk2r/1pp3pp/3p4/p3n3/2P3P1/2P5/P3PPB1/R1BQK2R w KQkq - 0 9,91.0,39.0,g4g5,quiet,24,0.072154,52.0,0
4k1nr/pp2bp2/6p1/3nNbP1/3PNP1p/P3P2P/1P1B2B1/4K2R w K - 5 19,231.0,290.0,e4c5,quiet,24,0.050694,59.0,0
rn5r/pbq3k1/4Qpp1/1Bb2n1p/N2p1P1P/P4N1R/1P1B2P1/1K2R3 w - - 0 19,234.0,185.0,a4c5,capture,26,0.050006,49.0,0
8/8/2p5/p3p3/2p1Pk2/P1Nb4/5K2/8 w - - 36 61,-494.0,-507.0,a3a4,quiet,10,0.003763,13.0,0
2k5/pp1n1p2/3R4/2pP4/5P2/P6r/1B2r3/R5K1 w - - 0 22,-241.0,-277.0,a1b1,quiet,15,0.031092,36.0,0
1rbq3r/p3nkp1/3p1p1p/3p4/P2n3P/B2B1P2/2Q2KP1/R5NR w - - 0 13,-193.0,-223.0,c2d1,quiet,24,0.030762,30.0,0
rkb4r/8/p1p3p1/2Qn4/2N2p2/6P1/5P1P/2q2BK1 w - - 5 26,-481.0,-561.0,c5c6,capture,17,0.020955,80.0,0
