fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
r1b1r1k1/4qp2/2p2n1p/1Pbpn1pP/p2N4/1PB1PP2/2PQN1P1/1K1R1B1R b - - 1 14,50.0,41.0,c6b5,capture,29,0.012732,9.0,0
r1b3k1/p3r1pp/1p6/2pn1N2/3p3b/3P1B1P/PPPB1PPq/R2K3R w - - 0 17,-502.0,390.0,f5e7,capture,26,0.851557,892.0,0
r1bk3r/2pnq3/1pBp1p2/p2Pp1n1/4Pb1p/P1N2Q1P/1PP2BP1/1K1R2NR w - - 10 14,30.0,34.0,f3e2,quiet,30,0.005708,4.0,0
r3k3/pbpp1prp/4pq2/8/2P1P3/2N2N2/P1nPQP1P/5K1R w q - 1 12,-339.0,-446.0,h2h4,quiet,23,0.053129,107.0,0
4r1k1/2pq2p1/1p1p1p2/7r/p2N1B1P/2PQ2K1/P7/6R1 b - - 1 26,338.0,310.0,g8f7,quiet,18,0.018723,28.0,0
2rr2k1/2q1bp2/1nB1p1p1/pP5p/P2P1P2/2P3P1/1B2Q2P/R4R1K b - - 7 26,-101.0,-87.0,h5h4,quiet,24,0.018740,14.0,0
5r1k/1p6/2pB3p/2Pp2pN/p2P2n1/P7/1P2R3/2K5 b - - 0 45,-115.0,-140.0,f8f1,quiet,17,0.031528,25.0,0
2r3k1/5pp1/8/pr1p4/3PnP2/R3P1P1/1PP4P/2K1BR2 b - - 1 26,16.0,-110.0,b5b6,quiet,19,0.176227,126.0,0
r4rk1/1p3pp1/2n5/1R2p3/pn2P2p/Nb1P1NqP/1P1QB1P1/5R1K w - - 2 18,-30.0,-77.0,a3b1,quiet,25,0.065966,47.0,0
6k1/6p1/p6p/Pp3R1P/4p2R/4P1P1/1r1r1P2/5K2 b - - 1 31,-2.0,60.0,g8h7,quiet,16,0.088377,62.0,0
8/8/8/p7/P1K1nk2/1P6/3p4/3R4 w - - 4 46,240.0,116.0,b3b4,quiet,8,0.138241,124.0,0
2k1rbnr/1b1p2q1/1ppP1p2/pN1B4/P7/2P2Q2/1P4PP/R1B2RK1 b - - 0 16,-51.0,88.0,c6d5,capture,25,0.196874,139.0,0
1r1r1b2/5pk1/1pq1pn1p/p1p3p1/P1N5/N1PP2P1/1P2QP1P/3RR1K1 w - - 12 22,-21.0,37.0,a3b5,quiet,26,0.083232,58.0,0
2r2rk1/p2b2bp/2n1p3/2qp1pB1/8/P1P3P1/2N1PPBP/1R1Q1RK1 w - - 1 16,-84.0,-42.0,e2e4,quiet,25,0.058434,42.0,0
2r5/1kp5/p1R1p2r/Bp1P4/7b/P3P3/1P2K3/7R w - - 1 28,155.0,164.0,h1c1,quiet,16,0.010564,9.0,0
r1bqkb1r/1pp5/p2p1n2/3Pnp1p/2P1p3/NP2P2R/PB1NBPP1/R2QK3 w Qkq - 3 9,159.0,48.0,e2f1,quiet,30,0.145438,111.0,0
r2qk2r/p3bpp1/3pbn1p/1pp1p3/3nP3/PP1PN1PP/1BPN1PB1/R2QK2R b KQ - 1 11,69.0,26.0,e6d7,quiet,32,0.060666,43.0,0
2b5/8/5k2/2r3p1/3N1p1p/5P2/3R2PK/8 w - - 8 50,-303.0,-93.0,d4b3,quiet,11,0.220491,210.0,0
k1r5/P3Rp2/5q2/p6p/5B2/3Q4/6PK/8 b - - 0 47,-416.0,167.0,f6e7,capture,12,0.639809,583.0,0
8/8/1pn2pkP/2p1p3/P7/4BP2/6K1/8 w - - 1 48,28.0,-105.0,f3f4,quiet,11,0.186877,133.0,0
rb4k1/2p4p/2p1q3/P1PpP1p1/Q2P1p2/P1B5/6PP/5R1K b - - 0 27,-179.0,-162.0,g8f8,quiet,21,0.019403,17.0,0
r4rk1/p2p1pp1/1p1P3p/2p1P3/2Pn1P1q/8/PP1Q3P/2KR1B1R w - - 1 13,-30.0,67.0,f1g2,quiet,24,0.138310,97.0,0
r4rk1/1pp2ppp/2n2q2/p2p4/8/1PbQP1PP/PBP5/2KR1B2 w - - 0 14,-366.0,-180.0,d3c3,capture,24,0.153460,186.0,0
1r5r/p2b1kp1/B7/2R4p/3B1bp1/8/P4P1P/4R1K1 b - - 4 22,-120.0,-25.0,d7e6,quiet,17,0.130223,95.0,0
1r5k/p7/6B1/2ppp2P/7B/5r2/P7/6RK w - - 2 34,71.0,26.0,h4g3,quiet,13,0.063431,45.0,0
3b2k1/1p4q1/3Q4/pN1p2p1/Pn1P4/5P2/1P3B2/6K1 b - - 8 37,-134.0,-55.0,d8e7,quiet,16,0.105320,79.0,0
1k1r3r/p2q2p1/bp1pp2p/1N1p4/P4P2/1P6/2PPQ2P/1K1R3B b - - 0 17,162.0,243.0,b8b7,quiet,23,0.084405,81.0,0
r1b2rk1/2q2np1/p2p1nR1/1p2p3/3PP3/4QN2/PPN2P2/2KR1B2 w - - 1 17,-44.0,91.0,d4e5,capture,24,0.191030,135.0,0
4r1k1/3r1pp1/1q5p/3Pp3/p7/1P1Q1PP1/P4RKP/3R4 w - - 0 32,-51.0,231.0,b3a4,capture,19,0.363670,282.0,0
8/4b3/1pk5/8/1P3n2/N1P5/2K5/8 w - - 7 50,-214.0,-347.0,a3c4,quiet,8,0.106386,133.0,0
r1b1k3/2p2rp1/p3p2p/4np2/4n3/BP1B3P/P4PP1/3RK2R w Kq - 0 15,-340.0,-246.0,a3b2,quiet,22,0.071505,94.0,0
2r1kb1r/p3pppp/p1pp4/6qP/3N4/1P2PQ2/P1PN2P1/4K2R w Kk - 2 16,-262.0,-144.0,e1d1,quiet,24,0.122665,118.0,0
8/5p2/4k1b1/1P2n3/8/P1K1N3/8/8 w - - 3 37,-248.0,-211.0,a3a4,quiet,8,0.035413,37.0,0
r1b2kr1/pp3p1p/8/5p2/5q2/1P2p3/P3Q1R1/5RK1 b - - 2 24,530.0,572.0,g8g2,capture,17,0.009355,42.0,0
r4rk1/p3nbpp/1p1q1p2/2p5/3pP3/P2N2RN/1PP1Q1PP/1K5R b - - 5 18,-110.0,131.0,c5c4,quiet,25,0.333288,241.0,0
5kn1/p2r4/1p2p1pp/1P3p2/2PP4/3P3P/n1KB1P1P/5B1R b - - 2 20,-210.0,-248.0,d7d4,capture,21,0.036431,38.0,0
2r1k2r/3p2p1/p3ppb1/Q7/2PNPbpP/1R6/P5P1/R5K1 w k - 0 22,367.0,333.0,a5a6,capture,21,0.020331,34.0,0
r5kr/2qb1pp1/2pb1n2/1p1p2Bp/p2P4/2NB1Q2/2P2PPP/1R2R1K1 w - - 0 16,-241.0,-149.0,h2h3,quiet,26,0.097979,92.0,0
rn1qk2r/p1p5/1p2p1pp/3b1p2/P1pPnP2/2B1PN2/1P2B1PP/R2Q1RK1 b kq - 3 10,-33.0,-6.0,b8d7,quiet,29,0.038715,27.0,0
4R3/kpn5/pN3r1n/P1KP4/5p2/5P1B/1P6/8 w - - 14 56,287.0,680.0,e8c8,quiet,15,0.141262,393.0,0
1Rnr2k1/1R3bp1/p4r2/q4p1p/P1p2QnP/2p2BP1/P3P3/2B2NK1 w - - 0 27,-262.0,-121.0,f3g4,capture,25,0.151375,141.0,0
1rq1kb1r/p3pppp/3p4/2n5/N2N4/6PP/1PP1PPK1/R2Q1R2 b k - 0 11,-73.0,19.0,e7e6,quiet,24,0.130852,92.0,0
3rb3/1p4k1/2n1Bn1p/p3p1p1/3pP3/1P3N1P/P4PP1/2B1R1K1 w - - 3 23,-69.0,-2.0,e6c4,quiet,22,0.095136,67.0,0
r5k1/5p2/2p3p1/p1B5/4P2p/5B1P/Nr3PP1/2R3K1 b - - 0 28,-131.0,-28.0,b2a2,capture,17,0.139862,103.0,0
8/8/1P6/3NR3/6pk/1r4p1/6K1/8 w - - 1 49,236.0,212.0,d5f4,quiet,8,0.023391,24.0,0
5k2/R7/3r4/5KP1/8/p7/8/8 b - - 9 50,-106.0,-59.0,d6d3,quiet,6,0.063882,47.0,0
r2qk1r1/pb3pbp/1p2p2p/2p4Q/1nPP1PPP/P1NP3R/1P2N3/2KR1B2 b q - 0 10,-284.0,-104.0,c5d4,capture,29,0.191479,180.0,0
2kr4/pp1b3p/1q1b1Qn1/3pp3/5p2/N1PB4/PP4PP/R1B2R1K w - - 4 16,400.0,372.0,f6g7,quiet,24,0.014228,28.0,0
