fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"Q2R4/6kp/2p1r3/1p4p1/8/P6P/2P3n1/7K b - - 0 43",-566,g7h6,8,-410.0
"8/5Rpk/8/p5pP/r3r3/4BK2/5P2/8 w - - 0 55",-306,e3g5,8,-262.0
"8/8/k7/2P5/1P5p/3p1Kp1/8/4B3 b - - 7 81",-143,a6b5,8,-193.0
"8/6k1/1p6/5R2/p1b1BKP1/P7/1r6/8 w - - 0 47",15,f5h5,8,-77.0
"2rq1rk1/pQ2ppbp/2np2p1/3N2Bn/2P3b1/P7/1P2PPB1/R3K1NR b KQ - 2 9",316,f8e8,8,203.0
"r3kbnr/pp1b3p/2q1ppp1/8/nPB1P3/5N2/P3QPPP/RNBR2K1 b kq - 0 11",-104,a8c8,8,-124.0
"r1bq1k1r/1p3pp1/p1n2n2/3pp2p/2P5/1P2PP2/P1NNB1PP/R2QK2R w KQ - 0 9",-44,e1g1,8,-4.0
"r3k3/p2bbpp1/Bqn1p2r/2pp4/3P1P2/1PP1P1Pp/1B1N3P/R2QK2R w KQq - 1 12",36,d1e2,8,-158.0
"7r/1p2pk2/2n1bp1P/p1q1P3/5Bp1/2P5/2PQB1P1/5K1R b - - 0 24",91,c6e5,8,297.0
"r1b1kbnr/pp4pp/2p1N3/3p4/P5p1/4P3/1PPP2BP/R1B1K1NR b kq - 0 10",130,c8e6,8,-47.0
"6k1/5p2/6pp/p3q2P/P7/1P1P1QP1/K7/8 w - - 0 30",38,d3d4,8,98.0
"1k2n3/1p6/p1pb1p2/2Np1P2/P2P2Pn/1P5B/2P5/1KB5 w - - 3 32",174,c2c3,8,158.0
"5k2/2r1p2p/5bp1/3b3P/P2p4/3B1Pq1/1P1Q2P1/4RK1R b - - 2 25",-248,f6h4,8,-83.0
"r7/6bR/p1q1P1k1/1p4r1/4pp2/1QN5/PP2PP2/1K5R b - - 2 26",-125,a8e8,8,-182.0
"r4b1r/pp3kpp/4bp2/3p1n2/8/NPq5/P3BPPP/1RBQ1RK1 b - - 1 12",32,c3c6,8,-19.0
"r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10",21,f6d5,8,66.0
"1k4r1/p2R1p1p/1pp3p1/2b1P3/5P1P/6P1/q3B2R/4K3 b - - 1 27",618,a2a4,8,638.0
"3rkb1r/pb5p/n1p2p1n/1p2q1pP/1P6/P1PBBN2/5PP1/RN1QK2R b KQk - 5 10",-59,e5d5,8,57.0
"2r5/1r4pp/3pk1n1/1p2p1PN/1B2P3/3K1N2/8/5R2 w - - 6 41",-143,f3d2,8,-145.0
"1r4r1/8/3k4/P1p2R2/3p3p/1P3R1P/6P1/7K b - - 0 38",89,d6c6,8,-116.0
"2kr3r/1ppqbppp/6n1/p1n5/P2NP3/3PBN2/1PQ3PP/3RK2R b - - 8 12",101,h8e8,8,96.0
"1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24",-76,e2b2,8,-14.0
"r3k1nr/1pp3pp/p1n5/4Pp2/2Pq1P2/1P1pN1P1/P2P3P/R2QKB1R b KQkq - 0 11",-47,g8e7,8,69.0
"8/8/8/8/K7/Pn6/1P5k/8 b - - 0 69",-307,b3d4,8,-9.0
"8/1k6/3b4/p2n4/3R4/8/P1K5/8 b - - 3 63",32,b7c6,8,66.0
"3r1rk1/p4pb1/1p4p1/2p1p2p/q1P1P2P/1nP1QP1N/1P4R1/1R2KB2 b - - 1 20",299,g8h7,8,85.0
"8/5Rp1/p7/P3P1k1/7p/8/7K/2r5 b - - 7 40",189,g7g6,8,215.0
"5r1k/4n1p1/pP5p/3B4/P1P1p1b1/2P1P1q1/3Q2P1/RN4K1 w - - 0 24",66,d5e4,8,85.0
"1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39",15000,d7f7,8,859.0
"rn5r/pbq3k1/4Qpp1/1Bb2n1p/N2p1P1P/P4N1R/1P1B2P1/1K2R3 w - - 0 19",418,e1c1,8,152.0
"6r1/ppp2p1n/4b1rk/7q/2P1N3/P2PPR1P/1Q4B1/5R1K w - - 10 24",58,f3f2,8,68.0
