fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
k1r5/P3Rp2/5q2/p6p/5B2/3Q4/6PK/8 b - - 0 47,-249.0,82.0,f6e7,capture,12,0.423288,331.0,0
8/8/1pn2pkP/2p1p3/P7/4BP2/6K1/8 w - - 1 48,54.0,-63.0,f3f4,quiet,11,0.166776,117.0,0
rb4k1/2p4p/2p1q3/P1PpP1p1/Q2P1p2/P1B5/6PP/5R1K b - - 0 27,-182.0,-175.0,e6g6,quiet,21,0.007821,7.0,0
r4rk1/p2p1pp1/1p1P3p/2p1P3/2Pn1P1q/8/PP1Q3P/2KR1B1R w - - 1 13,115.0,0.0,f1g2,quiet,24,0.159708,115.0,0
r4rk1/1pp2ppp/2n2q2/p2p4/8/1PbQP1PP/PBP5/2KR1B2 w - - 0 14,-467.0,-216.0,b2c3,capture,24,0.160176,251.0,0
1r5r/p2b1kp1/B7/2R4p/3B1bp1/8/P4P1P/4R1K1 b - - 4 22,32.0,-16.0,d7e6,quiet,17,0.068932,48.0,0
1r5k/p7/6B1/2ppp2P/7B/5r2/P7/6RK w - - 2 34,154.0,76.0,h4g3,quiet,13,0.100505,78.0,0
3b2k1/1p4q1/3Q4/pN1p2p1/Pn1P4/5P2/1P3B2/6K1 b - - 8 37,-54.0,-15.0,g7f6,quiet,16,0.055519,39.0,0
1k1r3r/p2q2p1/bp1pp2p/1N1p4/P4P2/1P6/2PPQ2P/1K1R3B b - - 0 17,62.0,174.0,d8f8,quiet,23,0.143088,112.0,0
r1b2rk1/2q2np1/p2p1nR1/1p2p3/3PP3/4QN2/PPN2P2/2KR1B2 w - - 1 17,7.0,8.0,d4e5,capture,24,0.001438,1.0,0
4r1k1/3r1pp1/1q5p/3Pp3/p7/1P1Q1PP1/P4RKP/3R4 w - - 0 32,49.0,179.0,b3a4,capture,19,0.166942,130.0,0
8/4b3/1pk5/8/1P3n2/N1P5/2K5/8 w - - 7 50,-192.0,-316.0,a3c4,quiet,8,0.109210,124.0,0
r1b1k3/2p2rp1/p3p2p/4np2/4n3/BP1B3P/P4PP1/3RK2R w Kq - 0 15,-164.0,-216.0,d3e4,capture,22,0.056236,52.0,0
2r1kb1r/p3pppp/p1pp4/6qP/3N4/1P2PQ2/P1PN2P1/4K2R w Kk - 2 16,-254.0,-93.0,e1g1,quiet,24,0.181130,161.0,0
8/5p2/4k1b1/1P2n3/8/P1K1N3/8/8 w - - 3 37,-210.0,-163.0,e3c4,quiet,8,0.051340,47.0,0
r1b2kr1/pp3p1p/8/5p2/5q2/1P2p3/P3Q1R1/5RK1 b - - 2 24,678.0,687.0,g8g2,capture,17,0.000980,9.0,0
r4rk1/p3nbpp/1p1q1p2/2p5/3pP3/P2N2RN/1PP1Q1PP/1K5R b - - 5 18,103.0,105.0,d6d7,quiet,25,0.002635,2.0,0
5kn1/p2r4/1p2p1pp/1P3p2/2PP4/3P3P/n1KB1P1P/5B1R b - - 2 20,-279.0,-233.0,g8f6,quiet,21,0.040166,46.0,0
2r1k2r/3p2p1/p3ppb1/Q7/2PNPbpP/1R6/P5P1/R5K1 w k - 0 22,443.0,366.0,a5a6,capture,21,0.036012,77.0,0
r5kr/2qb1pp1/2pb1n2/1p1p2Bp/p2P4/2NB1Q2/2P2PPP/1R2R1K1 w - - 0 16,-130.0,-74.0,g5f6,capture,26,0.073904,56.0,0
rn1qk2r/p1p5/1p2p1pp/3b1p2/P1pPnP2/2B1PN2/1P2B1PP/R2Q1RK1 b kq - 3 10,76.0,60.0,b8c6,quiet,29,0.022162,16.0,0
4R3/kpn5/pN3r1n/P1KP4/5p2/5P1B/1P6/8 w - - 14 56,499.0,731.0,e8c8,quiet,15,0.038873,232.0,0
1Rnr2k1/1R3bp1/p4r2/q4p1p/P1p2QnP/2p2BP1/P3P3/2B2NK1 w - - 0 27,-51.0,-116.0,b7c7,quiet,25,0.088127,65.0,0
1rq1kb1r/p3pppp/3p4/2n5/N2N4/6PP/1PP1PPK1/R2Q1R2 b k - 0 11,24.0,-5.0,e7e5,quiet,24,0.041679,29.0,0
3rb3/1p4k1/2n1Bn1p/p3p1p1/3pP3/1P3N1P/P4PP1/2B1R1K1 w - - 3 23,0.0,-1.0,e6f5,quiet,22,0.001439,1.0,0
r5k1/5p2/2p3p1/p1B5/4P2p/5B1P/Nr3PP1/2R3K1 b - - 0 28,-248.0,-94.0,b2a2,capture,17,0.174458,154.0,0
