fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
1rq1kb1r/p3pppp/3p4/2n5/N2N4/6PP/1PP1PPK1/R2Q1R2 b k - 0 11,-133.0,-82.0,c8b7,quiet,24,0.066706,51.0,0
3rb3/1p4k1/2n1Bn1p/p3p1p1/3pP3/1P3N1P/P4PP1/2B1R1K1 w - - 3 23,-43.0,-66.0,e6c4,quiet,22,0.032287,23.0,0
r5k1/5p2/2p3p1/p1B5/4P2p/5B1P/Nr3PP1/2R3K1 b - - 0 28,-1268.0,-329.0,b2a2,capture,17,0.130128,939.0,0
8/8/1P6/3NR3/6pk/1r4p1/6K1/8 w - - 1 49,480.0,486.0,e5e2,quiet,8,0.001899,6.0,0
5k2/R7/3r4/5KP1/8/p7/8/8 b - - 9 50,-146.0,-15.0,a3a2,quiet,6,0.176985,131.0,0
r2qk1r1/pb3pbp/1p2p2p/2p4Q/1nPP1PPP/P1NP3R/1P2N3/2KR1B2 b q - 0 10,-325.0,-127.0,c5d4,capture,29,0.191516,198.0,0
2kr4/pp1b3p/1q1b1Qn1/3pp3/5p2/N1PB4/PP4PP/R1B2R1K w - - 4 16,514.0,692.0,d3f5,quiet,24,0.031041,178.0,0
r1b1k1nr/ppp2p2/n1q3p1/4P3/1bP5/3PPN2/P3K1Bp/R1BQ3R w kq - 0 12,-716.0,-879.0,a2a3,quiet,26,0.009653,163.0,0
2nk3r/3b1p2/2p3p1/1prp2Pp/3N1K1P/3B1P2/3R4/R7 b - - 1 36,862.0,995.0,h8e8,quiet,19,0.003706,133.0,0
r6r/p3nkp1/4Np2/n7/Pp5p/1P6/1BP1B1PP/1K1R1R2 w - - 8 27,1979.0,2442.0,e6g7,capture,21,0.000010,463.0,0
8/4pk2/1r3p1p/3RP1pP/6P1/5P2/4PK2/8 w - - 1 30,143.0,205.0,d5c5,quiet,13,0.070052,62.0,0
3k4/7p/rp1P1p2/1R6/4p3/bB2P2P/1r6/K2R4 w - - 1 31,-173.0,-217.0,d6d7,quiet,15,0.046908,44.0,0
